PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Aaron Holiday,IND,23,4,0,4,18,7.8,3,5.3,57.1,1,2.3,44.4,0.8,1.3,60,0.3,1,1.3,2.5,1,1,0,2.5,15,0,0,-10.8
Abdel Nader,OKC,26,3,0,3,8.5,1.3,0.3,2.3,14.3,0.3,1.7,20,0.3,0.7,50,0.3,0.7,1,0,0,0.3,0.7,0.3,5.5,0,0,-7
Al Horford,PHI,34,4,0,4,32.1,7,3,6.3,48,0,1,0,1,1.8,57.1,2.3,5,7.3,2.3,0.8,0.3,1.3,3.5,22.8,1,0,-10.8
Alec Burks,PHI,28,4,0,4,23.7,10.5,4,12.3,32.7,0.8,4,18.8,1.8,2.3,77.8,1.8,2,3.8,1.8,0.8,0.3,0.8,1.8,19.9,0,0,-4.5
Alex Caruso,LAL,26,21,16,5,24.3,6.5,2.3,5.4,42.5,0.8,2.9,27.9,1.1,1.4,80,0.7,1.6,2.3,2.8,1.5,1.1,0.6,2.6,17,0,0,4.8
Alize Johnson,IND,24,1,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amir Coffey,LAC,23,3,3,0,2.3,0.7,0,1,0,0,0.3,0,0.7,0.7,100,0,0,0,1.3,0,0.3,0,0,3.7,0,0,5
Andre Iguodala,MIA,36,21,14,7,19.5,3.8,1.4,3.1,46.2,0.7,1.9,35.9,0.2,0.3,71.4,0.5,2,2.6,1.5,0.7,0.8,0.6,2.1,12.7,0,0,-0.7
Andre Roberson,OKC,28,1,0,1,3.4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-6
Anfernee Simons,POR,21,4,0,4,20.5,6.8,2,6.5,30.8,1.5,3.5,42.9,1.3,1.5,83.3,0.3,2.5,2.8,2.5,1,1.5,0,1.8,17.3,0,0,1.3
Anthony Davis,LAL,27,21,16,5,36.6,27.7,9.8,17.1,57.1,1.1,2.9,38.3,7.1,8.5,83.2,2.6,7.1,9.7,3.5,2.5,1.2,1.4,2.7,50.1,12,0,8.8
Antonius Cleveland,DAL,26,2,0,2,4.6,2,1,2.5,40,0,0,0,0,0,0,0.5,0,0.5,0,0,0.5,0,0.5,4.1,0,0,-3.5
Austin Rivers,HOU,27,12,5,7,17.6,4.8,1.6,5.1,31.1,0.8,2.9,25.7,0.8,1.1,76.9,0.2,2.3,2.5,1.3,0.7,0.6,0.1,1.8,11.1,0,0,1.7
BJ Johnson,ORL,24,1,0,1,3.6,3,1,2,50,1,1,100,0,0,0,0,2,2,0,0,0,0,0,5.4,0,0,9
Bam Adebayo,MIA,22,19,13,6,36.2,17.8,6.5,11.6,56.4,0,0.1,0,4.7,6.1,78.3,2.5,7.8,10.3,4.4,2.5,1,0.8,3.1,39.9,11,0,3.2
Ben McLemore,HOU,27,11,4,7,11.8,4,1.4,3.6,37.5,1.3,3.3,38.9,0,0,0,0.2,0.8,1,0.5,0.3,0.4,0,0.7,6.8,0,0,4.5
Boban Marjanovic,DAL,31,6,2,4,13.7,6.8,2.8,5,56.7,0,0.2,0,1.2,1.5,77.8,1,4.8,5.8,0.8,0.5,0,0.3,1.5,15.6,0,0,3.2
Bol Bol,DEN,20,4,0,4,5.4,4.8,1.3,2.3,55.6,0.5,0.8,66.7,1.8,2,87.5,0.8,0.5,1.3,0,0.5,0.5,0.5,0.3,8.8,0,0,5
Brad Wanamaker,BOS,30,17,10,7,16,4.9,1.7,3.5,48.3,0.7,1.6,44.4,0.8,0.9,87.5,0.1,1.9,2,1.8,1.1,0.7,0.2,1.9,11.8,0,0,0.8
Brook Lopez,MIL,32,10,5,5,32.8,15.8,6.1,11.4,53.5,2.1,5.3,39.6,1.5,2,75,1.9,3.6,5.5,0.5,1.2,1,1.3,2.7,28.9,1,0,1.8
Bruno Caboclo,HOU,24,2,1,1,3.3,1,0.5,1,50,0,0.5,0,0,0,0,0,1.5,1.5,0,0,0.5,0,1,4.3,0,0,2
CJ McCollum,POR,28,5,1,4,39.2,23.2,8.8,19.8,44.4,2.6,7,37.1,3,4.4,68.2,1,4.8,5.8,3.2,3,1.2,0.4,2,36.8,0,0,-11.4
Caris LeVert,BKN,25,4,0,4,34.9,20.3,6.8,18.3,37,2.3,5.3,42.9,4.5,6.3,72,2,4,6,9.5,3.3,1.3,0.3,1.8,43,2,0,-13
Carmelo Anthony,POR,36,5,1,4,35.1,15.2,5.6,13.6,41.2,1.6,3.8,42.1,2.4,2.8,85.7,0.2,4.8,5,2,2.6,1,0.4,4,25.8,1,0,-13.4
Carsen Edwards,BOS,22,1,1,0,3.5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.2,0,0,-1
Chris Boucher,TOR,27,7,4,3,6.1,1.1,0.4,1.6,27.3,0.3,0.7,40,0,0.1,0,0.4,1.3,1.7,0.1,0.1,0,0.3,0.7,4.1,0,0,-0.9
Chris Chiozza,BKN,24,4,0,4,16.1,5.8,2,6,33.3,1.3,4,31.3,0.5,1,50,0.3,1.3,1.5,4.3,0.8,1.3,0,1.8,16.9,0,0,-11.3
Chris Clemons,HOU,22,2,1,1,4.1,3.5,1,2.5,40,1,2.5,40,0.5,1,50,0,1,1,0,0,0,0,0,4.7,0,0,5.5
Chris Paul,OKC,35,7,3,4,37.3,21.3,7.9,16,49.1,2.3,6.1,37.2,3.3,3.7,88.5,0.4,7,7.4,5.3,3.3,1.6,0.4,2.6,40.8,2,1,-5.4
D.J. Augustin,ORL,32,5,1,4,25.6,13.2,3.6,9.2,39.1,1.6,3.4,47.1,4.4,4.6,95.7,0,2,2,6,2.4,0.2,0,1.2,22.8,1,0,-4.6
Damian Lillard,POR,29,4,1,3,35.6,24.3,6.5,16,40.6,3.3,8.3,39.4,8,8.3,97,0.3,3.3,3.5,4.3,3.5,0.5,0.3,1,33.6,0,0,-10.8
Daniel Theis,BOS,28,17,10,7,28.3,8.9,3.6,6.9,52.1,0.2,1.5,15.4,1.5,1.9,78.8,1.9,5.2,7.1,1.5,0.9,0.4,1.2,3.9,23.6,2,0,2
Danilo Gallinari,OKC,31,7,3,4,30.3,15,4.6,11.3,40.5,1.7,5.3,32.4,4.1,4.3,96.7,0.7,4.7,5.4,1,2.1,0.7,0.1,1.6,23.4,0,0,-5.7
Danny Green,LAL,33,21,16,5,25,8,2.8,8.1,34.7,1.9,5.5,33.9,0.5,0.7,66.7,1.2,2,3.1,1.2,0.6,1,0.8,2.3,18.2,0,0,7.9
Danuel House Jr.,HOU,27,9,5,4,31,11.4,4.1,9.4,43.5,2.1,5.9,35.8,1.1,1.4,76.9,1.1,4.7,5.8,1.4,0.8,0.9,0,2.4,22.4,1,0,1.7
Darius Bazley,OKC,20,7,3,4,18,6.6,1.9,4.4,41.9,1.6,3.1,50,1.3,1.4,90,0.3,6.4,6.7,0.9,0.9,0,0.4,0.3,16.3,1,0,-0.1
DeMarre Carroll,HOU,33,2,2,0,2.9,1,0.5,1,50,0,0,0,0,0,0,0,1.5,1.5,0.5,0,0,0,0.5,3.6,0,0,1.5
Delon Wright,DAL,28,4,1,3,13.3,4,1.5,2.5,60,0.3,0.5,50,0.8,1.3,60,0.3,0.5,0.8,1.8,1.3,1.3,0,0.5,10,0,0,-5.8
Dennis Schroder,OKC,26,7,3,4,32.4,17.3,6.3,15.6,40.4,1.9,6.4,28.9,2.9,3.6,80,0.3,3.4,3.7,3.6,2.4,0.6,0.1,2.1,26.8,0,0,2.9
Deonte Burton,OKC,26,1,0,1,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Derrick Jones Jr.,MIA,23,15,9,6,6.5,1.5,0.5,1.1,47.1,0.3,0.6,44.4,0.1,0.3,40,0.4,0.4,0.8,0.5,0.1,0.4,0.3,0.8,5.2,0,0,-2.3
Dion Waiters,LAL,28,5,3,2,7.6,2,0.8,2.4,33.3,0,0.8,0,0.4,0.4,100,0,0.4,0.4,0.4,0.2,0.2,0.2,0.4,4.1,0,0,-1
Donovan Mitchell,UTA,23,7,3,4,37.7,36.3,11.9,22.4,52.9,4.7,9.1,51.6,7.9,8.3,94.8,0.9,4.1,5,4.9,4.1,1,0.3,1.6,49.3,0,0,5.4
Donta Hall,BKN,22,3,0,3,6.6,2.3,1,1.7,60,0,0,0,0.3,1.3,25,1,0.7,1.7,0,0.3,0,0.7,0.3,6,0,0,-5.7
Donte DiVincenzo,MIL,23,10,5,5,16.5,6.6,2.3,5.1,45.1,0.7,2.1,33.3,1.3,2,65,0.8,2.4,3.2,1.2,1,0.7,0.3,2.1,14.2,0,0,-1.2
Dorian Finney-Smith,DAL,27,6,2,4,31.8,10.2,3.8,8.7,44.2,1.8,5,36.7,0.7,0.8,80,2,3.7,5.7,3.2,1.5,1.2,0.5,3.7,25.2,0,0,-6.3
Doug McDermott,IND,28,4,0,4,13.6,2.5,1,3.8,26.7,0.5,2.5,20,0,0,0,0,0.8,0.8,0.3,0.3,0.3,0,0.8,4.3,0,0,-9
Duncan Robinson,MIA,26,21,14,7,28.6,11.7,3.6,8.4,42.6,3,7.4,39.7,1.6,1.8,86.8,0.2,2.5,2.8,1.8,0.8,0.7,0.3,3.1,19.8,0,0,1.2
Dwight Howard,LAL,34,18,13,5,15.7,5.8,2.2,3.2,68.4,0.1,0.1,50,1.4,2.5,55.6,1.8,2.8,4.6,0.5,0.9,0.4,0.4,3.1,13.8,1,0,-0.3
Dzanan Musa,BKN,21,3,0,3,13.1,4.7,0.7,3.7,18.2,0,2,0,3.3,4.7,71.4,0.3,0.7,1,1.3,1,0,0.3,0.7,7.9,0,0,-9.7
Edmond Sumner,IND,24,3,0,3,13.5,2,0.7,2.3,28.6,0,1,0,0.7,0.7,100,0.3,1.7,2,0,0.7,0,0,1.7,3.7,0,0,-2
Emmanuel Mudiay,UTA,24,3,2,1,11.3,4.3,1.7,4.7,35.7,0.7,1,66.7,0.3,0.7,50,0.3,1.7,2,0.7,0.3,0,0.3,0,8.4,0,0,-1.3
Enes Kanter,BOS,28,11,7,4,9.3,4.5,2,3.8,52.4,0.1,0.1,100,0.5,0.9,50,1.7,2.2,3.9,0.6,0.4,0,0,1.7,9.8,0,0,2.8
Eric Bledsoe,MIL,30,9,5,4,29.7,11.7,4.2,10.9,38.8,0.9,3.6,25,2.3,2.9,80.8,0.6,4,4.6,5.9,2.6,1.2,0.7,2.2,29.1,1,0,1.6
Eric Gordon,HOU,31,12,5,7,34.1,17.3,6,14.7,40.9,2.4,7.5,32.2,2.9,3.3,87.5,0.5,2.2,2.7,3,2,0.8,0.6,2.2,27.3,0,0,-4.4
Ersan Ilyasova,MIL,33,3,3,0,7.8,3,1,3,33.3,0.3,1.7,20,0.7,0.7,100,0,1.3,1.3,0,0.3,0.7,0,1,6.3,0,0,-5.7
Evan Fournier,ORL,27,5,1,4,34.1,12.8,4,11.4,35.1,2.4,7,34.3,2.4,3.4,70.6,0.6,3.4,4,2.6,1.8,1.2,0.6,2,25.1,0,0,-10.4
Frank Mason,MIL,26,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.8,0,0,2.5
Fred VanVleet,TOR,26,11,7,4,39.1,19.6,6.9,17.3,40,3.9,10,39.1,1.9,2.3,84,0.5,3.9,4.4,6.9,2,1.6,0.6,2.5,40.1,2,0,0.7
Furkan Korkmaz,PHI,22,4,0,4,10.1,0.8,0,1.8,0,0,1.5,0,0.8,1.3,60,0,1.5,1.5,0.5,0.5,0.3,0,0.8,3.6,0,0,4
Gabe Vincent,MIA,24,1,1,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garrett Temple,BKN,34,4,0,4,34.3,12,4.3,12.3,34.7,2.3,9,25,1.3,1.5,83.3,0,2.8,2.8,2,1.5,0.8,0.3,3,19.8,0,0,-9
Gary Clark,ORL,25,5,1,4,28.7,7.4,2.2,6.6,33.3,2.2,6.4,34.4,0.8,1,80,0.8,4.8,5.6,1.4,0.4,1,0.4,1.4,20,0,0,-7.6
Gary Harris,DEN,25,14,7,7,27.1,7.4,2.4,6.4,37.8,1.4,3.7,36.5,1.2,1.6,77.3,0.5,1.5,2,1.7,1.5,1.1,0.3,3.2,15.2,0,0,-0.1
Gary Trent Jr.,POR,21,5,1,4,30.6,9.6,3.2,9,35.6,2,4.8,41.7,1.2,1.4,85.7,1,1,2,0.6,1,0.8,0,3.2,14.3,0,0,-8.4
George Hill,MIL,34,10,5,5,26.8,9.5,3.2,6.7,47.8,1,2.8,35.7,2.1,2.6,80.8,0.5,1.9,2.4,3.1,1.6,0.6,0,1.7,17.2,0,0,-0.5
Georges Niang,UTA,27,7,3,4,16.3,8.3,3.1,6.3,50,1.7,4.1,41.4,0.3,0.3,100,0.6,1.6,2.1,0.6,0.3,0,0.1,1.3,11.9,0,0,1.1
Giannis Antetokounmpo,MIL,25,9,5,4,30.8,26.7,10,17.9,55.9,1.4,4.4,32.5,5.2,9,58,3,10.8,13.8,5.7,3.3,0.7,0.9,3.4,53,8,0,3
Goran Dragic,MIA,34,17,12,5,32.5,19.1,7,15.8,44.4,2.2,6.3,34.6,2.9,3.6,80.3,0.8,3.3,4.1,4.4,2.3,1,0.1,2.9,31.6,0,0,4.6
Gordon Hayward,BOS,30,5,3,2,31.4,10.8,4,10,40,1.4,4.8,29.2,1.4,1.6,87.5,0.6,3.4,4,2.8,1.4,1.4,0.4,2,23.8,0,0,1.4
Grant Williams,BOS,21,17,10,7,10,2.8,0.9,1.5,57.7,0.6,1,58.8,0.4,0.6,70,0.4,1.1,1.5,0.4,0.2,0.1,0.3,1.9,6.1,0,0,0.8
Hamidou Diallo,OKC,21,3,0,3,8.4,4.3,1.3,3.7,36.4,0.3,1.7,20,1.3,2.3,57.1,0.7,1.3,2,0.3,0.7,0,0.7,0,8.6,0,0,-7.7
Hassan Whiteside,POR,31,5,1,4,21.2,6.8,2.6,4.8,54.2,0.2,0.2,100,1.4,2.8,50,1.4,5.6,7,0.4,1.2,0.2,2,3.4,21.2,0,0,-4.4
Ivica Zubac,LAC,23,13,7,6,24.6,9.1,3.4,6,56.4,0,0,0,2.3,2.8,81.1,2.4,4.8,7.2,0.6,0.9,0.2,0.8,2.6,20.4,2,0,8.5
J.J. Barea,DAL,36,1,1,0,5.2,3,0,1,0,0,0,0,3,3,100,0,0,0,0,1,0,0,1,2,0,0,-10
JR Smith,LAL,34,10,9,1,7.5,2,0.7,2.6,26.9,0.6,2.2,27.3,0,0,0,0,0.3,0.3,0.3,0.7,0.2,0,1.1,2.7,0,0,-2.8
JaKarr Sampson,IND,27,4,0,4,12.5,5,2.5,4,62.5,0,0,0,0,0,0,0.3,3,3.3,1,0.5,0.5,0,2.5,11.4,0,0,-1
JaMychal Green,LAC,30,13,7,6,17.1,6.1,2.4,4.2,56.4,0.8,1.8,43.5,0.5,0.7,77.8,1,2.8,3.8,0.5,0.4,0.2,0.2,2.2,12.2,1,0,-1.6
JaVale McGee,LAL,32,14,11,3,9.7,2.9,1.4,2.3,62.5,0,0.1,0,0.1,0.1,50,1.1,2,3.1,0.5,0.6,0.1,0.7,1.6,9.4,0,0,1.2
Jae Crowder,MIA,29,21,14,7,31.4,12,3.9,9.6,40.3,2.6,7.7,34.2,1.7,2.2,76.1,0.5,5,5.6,1.9,0.7,0.7,0.6,2.6,24.5,0,0,-1.2
Jamal Murray,DEN,23,19,9,10,39.6,26.5,9.8,19.4,50.5,3.3,7.2,45.3,3.7,4.1,89.7,1.1,3.8,4.8,6.6,2.8,0.9,0.3,2.2,43.3,2,0,0.5
James Ennis III,ORL,29,5,1,4,23.8,7,2.4,7,34.3,0.8,3.2,25,1.4,1.8,77.8,1.2,4.6,5.8,1.2,1.2,1,0.4,3.8,18.8,0,0,-9.8
James Harden,HOU,30,12,5,7,37.3,29.6,9.1,19,47.8,3.3,9.8,33.3,8.2,9.7,84.5,1,4.6,5.6,7.7,3.8,1.5,0.8,3.6,51,3,0,2.7
Jared Dudley,LAL,34,9,7,2,3.4,0,0,0.4,0,0,0.3,0,0,0,0,0,0.2,0.2,0,0.2,0.4,0.1,0.2,1.7,0,0,-4
Jarrell Brantley,UTA,24,2,2,0,6.4,0.5,0,2.5,0,0,1.5,0,0.5,1,50,1.5,0.5,2,1,0.5,0,0.5,2,5.4,0,0,-4.5
Jarrett Allen,BKN,22,4,0,4,33,10.3,3.5,6,58.3,0,0,0,3.3,4,81.3,4.3,10.5,14.8,2.3,2.8,0.5,1.8,1.8,35.3,2,0,-8.3
Javonte Green,BOS,26,1,1,0,5.7,3,1,2,50,1,2,50,0,0,0,0,1,1,0,0,0,0,1,4.2,0,0,1
Jaylen Adams,POR,24,3,0,3,6.9,2,1,3,33.3,0,1.3,0,0,0,0,0.3,0.7,1,0.7,0,0.3,0,0.3,5.2,0,0,7.3
Jaylen Brown,BOS,23,17,10,7,39.5,21.8,8.1,16.9,47.6,2.5,7.1,35.8,3.1,3.7,84.1,1.4,6.1,7.5,2.3,2.4,1.5,0.5,2.8,37.9,2,0,2.8
Jaylen Hoard,POR,21,3,0,3,13.8,4.7,2.3,4,58.3,0,0,0,0,0,0,1.7,1.3,3,0.3,0.7,0,0,1.7,8.1,0,0,4
Jayson Tatum,BOS,22,17,10,7,40.6,25.7,8.5,19.6,43.4,2.8,7.4,37.3,5.9,7.2,81.3,1.3,8.7,10,5,2.8,1,1.2,2.4,48.9,10,0,5.4
Jeff Green,HOU,33,12,5,7,28.4,11.6,4.3,8.6,49.5,1.9,4.5,42.6,1.2,1.4,82.4,0.4,4.6,5,1.6,1.3,0.5,0.5,2.3,21.7,0,0,-0.5
Jerami Grant,DEN,26,19,9,10,34.4,11.6,3.7,9.2,40.6,1.6,5,32.6,2.5,2.8,88.9,0.4,2.9,3.3,1.3,1.3,0.6,0.8,3.1,20.4,0,0,-3.8
Jeremiah Martin,BKN,24,3,0,3,9,4,1.3,4.7,28.6,1,1.7,60,0.3,0.3,100,0,1,1,1.3,0.7,0,0.3,0.7,7.5,0,0,-5
Jimmy Butler,MIA,30,21,14,7,38.4,22.2,6.9,14,48.8,0.7,2,34.9,7.8,9.1,85.9,2.2,4.3,6.5,6,2.8,2,0.7,1.8,44.1,5,2,2.5
Joakim Noah,LAC,35,2,0,2,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Joe Harris,BKN,28,2,0,2,36.2,16.5,6,11.5,52.2,3.5,6,58.3,1,2,50,1,9,10,1,1.5,0.5,0,4.5,30,1,0,-1.5
Joe Ingles,UTA,32,7,3,4,33.5,9.1,3.1,7.7,40.7,2,5.7,35,0.9,0.9,100,0.1,3.3,3.4,4.7,0.6,0.6,0.1,2.1,21.9,0,0,5.7
Joel Embiid,PHI,26,4,0,4,36.2,30,8.5,18.5,45.9,1,4,25,12,14.8,81.4,2.8,9.5,12.3,1.3,3.8,1.5,1.3,4.5,51.1,4,0,-13.3
Jordan Clarkson,UTA,28,7,3,4,28.6,16.7,6.4,13.9,46.4,2.4,7,34.7,1.4,1.4,100,0.3,3.1,3.4,2.1,1,0.9,0,2.1,25.6,0,0,0.3
Josh Reaves,DAL,23,2,0,2,4.6,2,0.5,1.5,33.3,0,0.5,0,1,1,100,0,1,1,0.5,0.5,0,0.5,0.5,5,0,0,-3.5
Josh Richardson,PHI,26,4,0,4,36.1,16.8,5,14,35.7,2.5,7,35.7,4.3,4.5,94.4,1,2.8,3.8,3.3,2,0.5,0.5,3,27.1,0,0,-5
Justin Anderson,BKN,26,3,0,3,9.4,6.3,1.7,4,41.7,1.7,3.7,45.5,1.3,1.3,100,0,2.7,2.7,1,0.7,0,0.3,0.7,11.4,0,0,-5
Justin Holiday,IND,31,4,0,4,32.8,7.3,2.5,5.3,47.6,2,4,50,0.3,0.8,33.3,1,2.8,3.8,0.8,0.8,1.5,1.3,2,20.4,0,0,0
Justin Jackson,DAL,25,3,1,2,5.3,1.3,0.3,2,16.7,0,1,0,0.7,1.3,50,0,1,1,0,0,0,0,0.3,2.5,0,0,-7.7
Jusuf Nurkic,POR,25,5,1,4,32.3,14.2,5,11.4,43.9,0.6,2.2,27.3,3.6,4.6,78.3,2.8,7.6,10.4,3.6,2.6,1.4,0.2,4.2,34.3,3,0,-13.2
Juwan Morgan,UTA,23,7,3,4,12.4,1.4,0.4,1.7,25,0.3,1.4,20,0.3,0.9,33.3,0.9,2.1,3,0.7,0.1,0.3,0,1.6,6.8,0,0,5.1
